Panel,ori,ref_chimera,chimera,ligand,n_1,n_2,mean_1,mean_2,sd_1,sd_2,sem_1,sem_2,padj_onesided,sig (padj_onesided<0.05)
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-128),No ligand,6,6,2452.728490833333,2434.2522606666666,492.8638109714506,528.1785689711295,201.21080826059926,215.6279978421132,0.7779493760094003,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-133),Sucrose,6,6,7146.651489666667,3824.8066906666663,2122.2910787709834,847.122634456821,866.4217047749617,345.8363673302411,0.014773400468611116,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-133),Sucralose,6,6,15182.8071175,2468.214314,5349.864634098266,362.21920679331146,2184.0730910836974,147.8753719465459,0.0018800657296726558,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-133),No ligand,6,6,2452.728490833333,2219.6355803333336,492.8638109714506,482.13013642597093,201.21080826059926,196.8288039770117,0.5149029339650643,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-122),Sucrose,6,6,7146.651489666667,5685.9917651666665,2122.2910787709834,1352.925107895441,866.4217047749617,552.3293624239512,0.12909519712529613,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-122),Sucralose,6,6,15182.8071175,9094.186844666667,5349.864634098266,1972.5672535211156,2184.0730910836974,805.297209074993,0.021780766704835246,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-122),No ligand,6,6,2452.728490833333,2578.5186875,492.8638109714506,670.7754936935575,201.21080826059926,273.8429485854486,0.865164631549062,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-121),Sucrose,6,6,7146.651489666667,4136.5728893333335,2122.2910787709834,1540.6114750305057,866.4217047749617,628.9520009502144,0.02097726843846026,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-121),Sucralose,6,6,15182.8071175,4093.5954816666667,5349.864634098266,1879.553724812371,2184.0730910836974,767.3245949896366,0.0021112476510689155,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-121),No ligand,6,6,2452.728490833333,2734.7657595,492.8638109714506,654.1410012650937,201.21080826059926,267.05194548879416,0.865164631549062,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-117),Sucrose,6,6,7146.651489666667,7021.3696695,2122.2910787709834,1718.5549203361493,866.4217047749617,701.5971082954933,0.499891445920118,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-117),Sucralose,6,6,15182.8071175,7000.899625166667,5349.864634098266,1828.8166754038784,2184.0730910836974,746.6112813054389,0.007051375522515156,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-117),No ligand,6,6,2452.728490833333,2641.3503935,492.8638109714506,805.2892320176796,201.21080826059926,328.7579523001749,0.865164631549062,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-126),Sucrose,6,6,7146.651489666667,5068.167590833334,2122.2910787709834,874.8930463254369,866.4217047749617,357.173590501081,0.04603832425591481,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-126),Sucralose,6,6,15182.8071175,5298.232390833334,5349.864634098266,1050.4494825629247,2184.0730910836974,428.84420547496353,0.004073879494656031,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-126),No ligand,6,6,2452.728490833333,2672.5868408333336,492.8638109714506,1137.3328108878875,201.21080826059926,464.3141757334401,0.865164631549062,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-127),Sucrose,6,6,7146.651489666667,6611.374362166666,2122.2910787709834,1707.7219313795972,866.4217047749617,697.174559073367,0.3686374891280446,
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-127),Sucralose,6,6,15182.8071175,6137.882464166667,5349.864634098266,2051.7717547862494,2184.0730910836974,837.6323113135268,0.004622867545306192,yes
T1R3,"20211117,19_S3",AF1-18)-AF3-116),AF1-18)-AF3-127),No ligand,6,6,2452.728490833333,2617.8906295,492.8638109714506,437.0229237349454,201.21080826059926,178.41386150831065,0.865164631549062,
